stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse,config,abs_bias,coverage_gap,rmse_rank,runtime_rank,coverage_rank,mean_nuisance_error_product
stage2,tree,2000,10,random_forest,0,100,0,0,-0.0976040753410972,0.1005381665331137,0.0242330312733775,0.0238497263200218,0.01,0.0934892092567598,109.42975424200644,0.2765529710521766,0.1601866335889989,0.0024233031273377,tree_n2000_p10,0.0976040753410972,0.94,6.0,6.0,5.0,0.21031312379711642
stage2,tree,2000,10,tabiclv2_8,8,100,0,0,-0.0991474753966135,0.1015641637559828,0.0221349735137534,0.0229148882502633,0.01,0.0898247113605526,7.391554579004878,0.2335673194914689,0.1879003225088908,0.0022134973513753,tree_n2000_p10,0.0991474753966135,0.94,7.0,3.0,5.0,0.20922801815646772
stage2,tree,5000,10,xgboost,0,100,0,0,-0.040338112304765,0.043784420889464,0.0171125864339228,0.0147895054816741,0.25,0.0579737961864778,87.23213577199378,0.1769072521281864,0.0732254716816059,0.0017112586433922,tree_n5000_p10,0.040338112304765,0.7,1.0,5.0,1.0,0.11370800288875957
stage2,tree,5000,10,ensemble,0,100,0,0,-0.0443395277713788,0.0474866217163232,0.0170852147978062,0.0147796185047225,0.17,0.0579350399489959,1978.889253678003,0.169126721724228,0.0735422566108288,0.0017085214797806,tree_n5000_p10,0.0443395277713788,0.7799999999999999,2.0,7.0,2.0,0.11141216038302726
stage2,tree,5000,10,lasso,0,100,0,0,-0.0716370869646242,0.0730880260596325,0.0145639420694544,0.0137654237025031,0.0,0.0539594693776801,0.1093490630027372,0.716924136677887,0.4901164283037286,0.0014563942069454,tree_n5000_p10,0.0716370869646242,0.95,3.0,1.0,3.0,0.5927379509479841
stage2,tree,5000,10,mlp,0,100,0,0,-0.0733300956087808,0.0754182825955044,0.0177130445472755,0.0145642685442006,0.0,0.0570908836156056,35.752909218999555,0.5156964838721898,0.3054583123087468,0.0017713044547275,tree_n5000_p10,0.0733300956087808,0.95,4.0,4.0,3.0,0.39654788441698335
stage2,tree,5000,10,random_forest,0,100,0,0,-0.0814122424908382,0.0833578549144106,0.0179949136625355,0.0149258464530088,0.0,0.0585082429733444,756.1388223619957,0.2022338933240151,0.1133737618586826,0.0017994913662535,tree_n5000_p10,0.0814122424908382,0.95,5.0,6.0,3.0,0.15129372487256984
stage2,tree,5000,10,tabiclv2_1,1,100,0,0,-0.0923003309703732,0.0936333803495538,0.0158228455997174,0.0143143737379972,0.0,0.0561113139754413,4.963697966991458,0.1616462840580392,0.1544388582982843,0.0015822845599717,tree_n5000_p10,0.0923003309703732,0.95,6.0,2.0,3.0,0.15788512927171958
stage2,tree,5000,10,tabiclv2_8,8,100,0,0,-0.0948468545205322,0.0962674558385997,0.0165601822928816,0.0142692035660319,0.0,0.0559342501549862,13.032343614997808,0.1563290016350568,0.1571584834006118,0.0016560182292881,tree_n5000_p10,0.0948468545205322,0.95,7.0,3.0,3.0,0.15660297485365507
stage2,tree,5000,50,lasso,0,100,0,0,-0.0697071118362351,0.0712165502511504,0.0146582478980139,0.0138833029812254,0.0,0.0544215476593188,0.1884708440036047,0.7207291227758093,0.4900513356052727,0.0014658247898013,tree_n5000_p50,0.0697071118362351,0.95,1.0,1.0,1.0,0.5942717962381345
stage2,tree,5000,50,xgboost,0,100,0,0,-0.0996866600053947,0.1012633783671447,0.0178897187136319,0.0147272908775096,0.0,0.0577299194195282,731.9100323019945,0.2076140798540138,0.1596813398639264,0.0017889718713631,tree_n5000_p50,0.0996866600053947,0.95,2.0,5.0,1.0,0.18186880258861088
stage2,tree,5000,50,tabiclv2_1,1,100,0,0,-0.1054987123144118,0.1067655447239615,0.0164808808790883,0.0143130541991429,0.0,0.0561061414781799,6.712795423998032,0.1642014269364668,0.1755079224837478,0.0016480880879088,tree_n5000_p50,0.1054987123144118,0.95,3.0,2.0,1.0,0.1696368563089543
stage2,tree,5000,50,ensemble,0,100,0,0,-0.1077556104316601,0.1091548878370761,0.0175095344654547,0.014768059151675,0.0,0.0578897281176806,5603.009952739007,0.198920243302604,0.1578686248535142,0.0017509534465454,tree_n5000_p50,0.1077556104316601,0.95,4.0,7.0,1.0,0.1770477810868864
stage2,tree,5000,50,tabiclv2_8,8,100,0,0,-0.1145473359663861,0.1156774991493824,0.0162117189331328,0.0142378050468179,0.0,0.0558111702213314,26.722121280994035,0.1573281188681226,0.1862626815358645,0.0016211718933132,tree_n5000_p50,0.1145473359663861,0.95,5.0,4.0,1.0,0.17110872196928475
stage2,tree,5000,50,mlp,0,100,0,0,-0.1212590456761315,0.1221541635514324,0.0148352404175469,0.0145496911706357,0.0,0.0570337413612529,16.324857346998762,0.901454179421726,0.588763301182899,0.0014835240417546,tree_n5000_p50,0.1212590456761315,0.95,6.0,3.0,1.0,0.7284450211749287
stage2,tree,5000,50,random_forest,0,100,0,0,-0.1286317907072202,0.1297014623304687,0.0167069739903735,0.01503069134419,0.0,0.0589192273947008,2031.7643377330007,0.2399237325261396,0.17465042552323,0.0016706973990373,tree_n5000_p50,0.1286317907072202,0.95,7.0,6.0,1.0,0.20458891730147902
