stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse
stage1,linear,2000,100,ensemble,0,20,0,0,0.002108758615462253,0.02608041675738545,0.026670331936849066,0.022385085866154023,0.85,0.08774792417699696,3784.993734275001,0.02791077347385994,0.011941576231175095,0.005963667519327814
stage1,linear,2000,100,lasso,0,20,0,0,0.00237360533128525,0.026012174894178113,0.026576587251833525,0.02238098616903212,0.85,0.08773185365958405,0.13902729999826988,0.02698860274392755,0.01113049067546185,0.005942705570505408
stage1,linear,2000,100,mlp,0,20,0,0,-0.15737305019094147,0.16015338563514062,0.0304843359949004,0.025374455999075257,0.0,0.09946603977096766,13.733648629999516,0.6481499623371499,0.340624050325372,0.006816504753354097
stage1,linear,2000,100,random_forest,0,20,0,0,-0.035253957472683645,0.043862817696026096,0.026775976246373356,0.022875970610897054,0.7,0.08967215701750995,785.5037186399998,0.19038257140264747,0.11656746262333786,0.005987290305081047
stage1,linear,2000,100,tabiclv2,1,20,0,0,-0.0010991022951293062,0.026932986251034154,0.027609642147612058,0.02243350135392352,0.85,0.08793770940164126,5.220354905000022,0.020474319806921278,0.010759186148682924,0.006173703667650385
stage1,linear,2000,100,xgboost,0,20,0,0,-0.019498523791349358,0.032459365114987086,0.026624443727842985,0.022980701457675164,0.85,0.09008269439302091,402.73446405500215,0.18149419654134125,0.09412460160080818,0.005953406603857482
stage1,linear,5000,10,ensemble,0,20,0,0,-0.004632105557229793,0.012601304116731948,0.012023506080702103,0.01412082589575966,0.95,0.055352620375298936,1124.9273910200004,0.005989623581532583,0.0026354066282134173,0.002688537692433197
stage1,linear,5000,10,lasso,0,20,0,0,-0.004640090515247303,0.012383417120054824,0.01177949063234279,0.014116762363809335,0.95,0.055336691622753634,0.09149747999908868,0.0051665381858822055,0.002336089395640455,0.002633974179424046
stage1,linear,5000,10,mlp,0,20,0,0,-0.019865530517674902,0.022930518846714664,0.011750448673667233,0.014326486112061535,0.7,0.056158793609307735,13.88333125499994,0.04894496538996752,0.02524431266928364,0.0026274802000442175
stage1,linear,5000,10,random_forest,0,20,0,0,-0.02118639595252562,0.02443054787606738,0.012481071819174664,0.014305319628304652,0.7,0.056075822517622075,283.55851679999904,0.09142884616761154,0.05474839220248647,0.002790852501973151
stage1,linear,5000,10,tabiclv2,1,20,0,0,-0.0054164114636278075,0.012662196849196793,0.011742577315254384,0.01412389438247893,0.95,0.055364648622212596,4.42296179,0.006310976291868817,0.002820605642420441,0.002625720110795578
stage1,linear,5000,10,xgboost,0,20,0,0,-0.012476051847181212,0.017566544288934942,0.012687814649935377,0.01421694020778486,0.9,0.055729381555235435,65.53163515500054,0.072138053383101,0.03751993130155103,0.0028370816043173197
